utt_id,word_errors,ref,hyp
hi_in_test_00010,4,"अगर आपने फ़िल्म नेशनल ट्रेज़र देखी है, तो आपको लगेगा कि स्वतंत्रता के घोषणा-पत्र के पीछे एक ख़ज़ाने का नक्शा लिखा गया था.", अगर आपने फिल्म नेशनल ट्रिजर देखी है तो आपको लगेगा कि स्वतंत्रता के घोषणा पत्र के पीछे एक खजाने का नक्शा लिखा गया था<unk>
hi_in_test_00011,2,"प्राकृतिक वातावरण में पौधे सबसे अच्छे दिखते हैं, इसलिए “सिर्फ एक” नमूने को भी हटाने के प्रलोभन को रोकें.", प्राकृतिक वातावरण में पौधे सबसे अच्छे दिखते हैं इसलिए सिर्फ़ एक नमूने को भी हटाने के प्रलोभन को रोकें<unk>
hi_in_test_00012,1,रोम में अलग-अलग जगहों पर कई बड़े टेलीविज़न स्क्रीन लगाए गए ताकि लोग समारोह देख सकें., रोम में अलग अलग जगहों पर कई बड़े टेलीविज़न स्क्रीन लगाए गए ताकि लोग समारोह देख सकें<unk>
hi_in_test_00013,7,"उदाहरण के लिए, दुनिया में सबसे ज़्यादा इस्तेमाल होने वाला फ़ोटोग्राफ़ी फ़ॉर्मेट 35mm है. यह एनालॉग फिल्म दौर के आखिर में काफी प्रचलित था.", उदाहरण के लिए दुनिया में सबसे ज़्यादा इस्तेमाल होने वाला फोटोग्राफी फॉर्मेट पैंतीस एमएम है<unk> यह एनालॉग फिल्म दौर के आखिर में काफ़ी प्रचलित था<unk>
hi_in_test_00014,1,अक्टूबर में शुरू हुए व्यापक शासन विरोधी प्रदर्शनों के लिए आयोग का गठन मार्टेली की प्रतिक्रिया स्वरूप हुआ था., अक्टूबर में शुरू हुए व्यापक शासन विरोधी प्रदर्शनों के लिए आयोग का गठन मार्टेली की प्रतिक्रिया स्वरूप हुआ था<unk>
hi_in_test_00015,3,मस्तिष्क विकृति और व्यवहार के बीच संबंध अनुसंधान में वैज्ञानिकों का समर्थन करते हैं., मस्तिष्क विकृति और व्यवहार के बीच संबंध अनुसंसाधन और वैज्ञानिकों का समर्थन करते हैं<unk>
hi_in_test_00016,2,"तूफान और बवंडर की तरह आंधी, ओले, भारी बारिश, और जंगल की आग तीव्र मौसम का हिस्सा और असर हैं."," तूफ़ान और बवंडर की तरह आंधी, ओले, भारी बारिश और जंगल की आग तीव्र मौसम का हिस्सा और असर है<unk>"
hi_in_test_00017,2,"तूफान और बवंडर की तरह आंधी, ओले, भारी बारिश, और जंगल की आग तीव्र मौसम का हिस्सा और असर हैं.", तूफ़ान और बवंडर की तरह आंधी ओले भारी बारिश और जंगल की आग तीव्र मौसम का हिस्सा और असर है<unk>
hi_in_test_00018,1,"ब्लॉगिंग एक ऐसा टूल है जो सहयोग को प्रेरित करता है, और छात्रों को पारंपरिक स्कूल के दिन से बेहतर सीखने के लिए प्रोत्साहित करता है.", ब्लॉगिंग एक ऐसा टूल है जो सहयोग को प्रेरित करता है और छात्रों को पारंपरिक स्कूल के दिन से बेहतर सीखने के लिए प्रोत्साहित करता है<unk>
hi_in_test_00019,2,ये जोड़े अपने बच्चे के लिए गोद लेने की योजना बनाने का विकल्प चुन सकते हैं., यह जोड़े अपने बच्चे के लिए गोद लेने की योजना बनाने का विकल्प चुन सकते हैं<unk>
hi_in_test_00020,1,असल में फील्ड ट्रिप साझा करना यात्रा पर विचार करने और भविष्य की कक्षाओं के साथ अनुभव करने का एक शानदार तरीका है., असल में फील्ड ट्रिप साझा करना यात्रा पर विचार करने और भविष्य की कक्षाओं के साथ अनुभव करने का एक शानदार तरीका है<unk>
hi_in_test_00021,2,उत्तर में यह क्षेत्र साहेल और दक्षिण और पश्चिम में अटलांटिक महासागर से घिरा है., उत्तर में यह क्षेत्र साहिल और दक्षिण और पश्चिम में अटलांटिक महासागर से घिरा है<unk>
hi_in_test_00022,5,उनका सिंगापुर के उप-प्रधान मंत्री वोंग कान सेंग ने स्वागत किया और उन्होंने सिंगापुर के प्रधानमंत्री ली सिएन लूंग के साथ व्यापार और आतंकवाद के मामले पर बातचीत की., उनका सिंगापुर के उप प्रधानमंत्री वोंग कान सेंग ने स्वागत किया और उन्होंने सिंगापुर के प्रधानमंत्री ली सियेन लुंग के साथ व्यापार और आतंकवाद के मामले पर बातचीत की<unk>
hi_in_test_00023,3,पहाड़ी इलाकों में ज़्यादा दुर्घटना हुई. इसकी वजह आपसी दुश्मनी को माना जाता है., पहाड़ी इलाक़ों में ज़्यादा दुर्घटना हुई इसकी वजह से आपसी दुश्मनी को माना जाता है<unk>
hi_in_test_00024,2,"गंभीर मौसम किसी भी खतरनाक मौसमी घटना के लिए वर्गीय शब्द है जिसमें नुकसान, गंभीर सामाजिक व्यवधान, या मानव जीवन की हानि की संभावना है।"," गंभीर मौसम किसी भी ख़तरनाक मौसमी घटना के लिए वर्गीय शब्द है जिसमें नुकसान, गंभीर सामाजिक व्यवधान या मानव जीवन की हानि की संभावना है<unk>"
hi_in_test_00025,9,"1963 में बाँध बनने के बाद, मौसमी बाढ़ जो पूरे नदी में तलछट फैला देगी वह रुक गई थी.", उन्नीस सौ तिरसठ में बांध बनाने के बाद मौसमी बाढ़ जो पूरी नदी में तलछट फैला दे कि वह रुक गई थी<unk>
hi_in_test_00026,2,"अगर हमारे अपने पूर्वजों ने अपनी “प्रोटीन की समस्या” को कुछ हद तक उसी तरह सुलझाया, तो हमें आश्चर्यचकित नहीं होना चाहिए, जैसे कि आज के समय में चिंपाजी करते हैं।", अगर हमारे अपने पूर्वजों ने अपनी प्रोटीन की समस्या को कुछ हद तक उसी तरह सुलझाया तो हमें आश्चर्यचकित नहीं होना चाहिए जैसे कि आज के समय में चिंपांजी करते हैं<unk>
hi_in_test_00027,5,"इसके मुंह के तालु में एक अतिरिक्त सेट के साथ ही 70 से ज़्यादा रेजर की तरह नुकीले दाँतों से भरे इसके लंबे जबड़े थे, जिसका अर्थ है कि उसके रास्ते से गुज़रने वाली किसी भी चीज़ के लिए कोई बचाव नहीं था.", इसके मुँह के तालू में एक अतिरिक्त सेट के साथ ही 70 से ज़्यादा रेज़र की तरह नुकीले दांतों से भरे इसके लंबे जबड़े थे जिसका अर्थ है कि उसके रास्ते से गुज़रने वाली किसी भी चीज़ के लिए कोई बचाव नहीं था<unk>
hi_in_test_00028,4,"वर्तमान में, जो कीड़े अपने पंखों को वापस नहीं मोड़ सकते हैं उनमें केवल ड्रैगनफ़्लाई और मेफलीज़ हैं.", वर्तमान में जो कीड़े अपने पंखों को वापस नहीं मोड़ सकते हैं उनमें केवल ड्रैगनफ्लाई की मैफ़लीज़ हैं<unk>
hi_in_test_00029,3,"माना जाता है कि ईरान की ज़ाग्रोस पहाड़ियों में 10,000 साल पहले बकरी पालन की शुरुआत हुई थी."," माना जाता है कि ईरान के जाग्रोस पहाड़ियों में 10,000 साल पहले बकरी पालन की शुरुआत हुई थी<unk>"
hi_in_test_00030,4,पपड़ी पतली होने के कारण आस-पास पर कई मारिया होंगी. लावा के लिए सतह पर बढ़ना आसान था., पपड़ी पतली होने के कारण आसपास पर कई मारियाँ होंगी लावा के लिए सतह पर बढ़ना आसान था<unk>
hi_in_test_00031,2,"अपनी सरकार के अलावा आप अन्य देशों की सरकारों की सलाह ले सकते हैं. हालाँकि, उनकी सलाह उनके नागरिकों को ध्यान में रखकर दी जाती हैं."," अपनी सरकार के अलावा आप अन्य देशों की सरकारों की सलाह ले सकते हैं, हालांकि उनकी सलाह उनके नागरिकों को ध्यान में रखकर दी जाती है<unk>"
hi_in_test_00032,4,उन्होंने अफवाहों को “राजनीतिक बकवास और मूर्खतापूर्ण” कहा., उन्होंने उन अफवाहों को राजनीतिक बकवास और मुफ़्त अपना कहा<unk>
hi_in_test_00033,2,पिरामिडों पर दृश्य प्रदर्शित किए जाते हैं और विभिन्न पिरामिड दिखाये जाते हैं, पिरामिडों पर दृश्य प्रदर्शित किए जाते हैं और विभिन्न पिरामिड दिखाए जाते हैं<unk>
hi_in_test_00034,2,ऐसी कोई वैश्विक परिभाषा नहीं है जिसके लिए निर्मित सामान एंटीक होते हैं. कुछ कर एजेंसियाँ 100 साल से पुराने सामान को एंटीक के तौर पर परिभाषित करती हैं., ऐसी कोई वैश्विक परिभाषा नहीं है जिसके लिए निर्मित सामान एंटीक होते हैं<unk> कुछ कर एजेंसियाँ 100 साल से पुराने सामान को एंटीक के तौर पर परिभाषित करती हैं<unk>
hi_in_test_00035,4,"बेशक इस परंपरा के पीछे ईसाई धर्मशास्त्र के स्पष्टीकरण दिए जाते हैं, लेकिन एक प्री-क्रिश्चयन स्प्रिंग और फ़र्टिलिटी रस्म भी हो सकती है.", बेशक इस परंपरा के पीछे ईसाई धर्मशास्त्रों के स्पष्टीकरण दिए जाते हैं लेकिन एक प्री कुश्चन स्प्रिंग और फर्टिलिटी रस्म भी हो सकती है<unk>
hi_in_test_00036,2,"बाली में इस एजेंडे के अन्य विषयों में दुनिया के बचे हुए जंगलों को बचाने, और ऐसी तकनीकों का आदान प्रदान करना का विषय शामिल है जिससे कि विकासशील देशों को कम प्रदूषणकारी तरीकों से आगे बढ़ने में मदद मिले।", बाली में इस एजेंडे के अन्य विषयों में दुनिया के बचे हुए जंगलों को बचाने और ऐसी तकनीकों का आदान प्रदान करने का विषय शामिल है जिससे कि विकासशील देशों को कम प्रदूषणकारी तरीकों से आगे बढ़ने में मदद मिले<unk>
hi_in_test_00037,1,यह खोज पक्षियों में पंखों के विकास की पूरी जानकारी भी प्रदान करती है., यह खोज पक्षियों में पंखों के विकास की पूरी जानकारी भी प्रदान करती है<unk>
hi_in_test_00038,1,एक बम गवर्नर जनरल के कार्यालय के बाहर फटा था., एक बम गवर्नर जनरल के कार्यालय के बाहर फटा था<unk>
hi_in_test_00039,6,वाइल्ड कार्ड खरीद लेना फ़ायदेमंद भी हो सकता है क्योंकि इससे आप दक्षिण अफ़्रीका के चुनिंदा पार्क या सभी दक्षिण अफ़्रीकी नेशनल पार्क देख सकते हैं., वाइल्डकार्ड खरीद लेना फायदेमंद भी हो सकता है क्योंकि इससे आप दक्षिण अफ्रीका के चुनिंदा पार्क या सभी दक्षिण अफ्रीकी नेशनल पार्क देख सकते हैं<unk>
hi_in_test_00040,2,उत्तर में यह क्षेत्र साहेल और दक्षिण और पश्चिम में अटलांटिक महासागर से घिरा है., उत्तर में यह क्षेत्र साहिल और दक्षिण और पश्चिम में अटलांटिक महासागर से घिरा है<unk>
hi_in_test_00041,8,"कहा जाता है कि वह 20 साल की उम्र में ही जीर्ण हो गया था। एक बयान में बीबर ने कहा, “हांलांकि मैं मौजूद नहीं था और न ही सीधे इस दुखद दुर्घटना से जुड़ा हुआ था, मेरी संवेदनाएं और प्रार्थनाएं पीड़ित के परिवार के साथ हैं।”"," कहा जाता है कि वह बीस साल की उम्र में ही जीर्ण हो गया था<unk> एक बयान में बीबर ने कहा, हालांकि मैं मौजूद नहीं था और न ही सीधे इस दुखद दुर्घटना से जुड़ा हुआ था<unk> मेरी संवेदनाएँ और प्रार्थनाएँ पीड़ित परिवार के साथ हैं<unk>"
hi_in_test_00042,1,"जो भी ऊँचाई या पहाड़ी दर्रे पर गाड़ी चलाने जा रहा है, उसे हिम, बर्फ या ठंड के तापमान की संभावना के विचार को मन में रखना चाहिए।", जो भी ऊँचाई या पहाड़ी दर्रे पर गाड़ी चलाने जा रहा है उसे हिम बर्फ या ठंड के तापमान की संभावना के विचार को मन में रखना चाहिए<unk>
hi_in_test_00043,3,"अधिकांश छोटे द्वीप स्वतंत्र राष्ट्र हैं, या फ़्रांस से संबंधित हैं और लग्ज़री बीच रिसॉर्ट के रूप में जाने जाते हैं.", अधिकांश छोटे द्वीप स्वतंत्र राष्ट्र हैं या फ्रांस से संबंधित हैं और लग्ज़री बीच रिज़ॉर्ट के रूप में जाने जाते हैं<unk>
hi_in_test_00044,4,उपग्रह को एक रॉकेट से अंतरिक्ष में भेजा गया था. वैज्ञानिक अंतरिक्ष में दूरबीनों का उपयोग करते हैं क्योंकि पृथ्वी का वायुमंडल हमारे कुछ प्रकाश और दृश्य को अशुद्ध करता है., उपग्रह को एक रॉकेट से अंतरिक्ष में भेजा गया था<unk> वैज्ञानिक अंतरिक्ष में दूरबीनों का उपयोग करते हैं क्योंकि पृथ्वी का वायुमंडल हमारे कुछ प्रकाश और दृश्य को अशुद्ध कर सकता है<unk>
hi_in_test_00045,2,पौधे फ़ोटोसिंथेसिस द्वारा सूर्य से अपना भोजन बनाते हैं. वह छाया भी देते हैं., पौधे फोटोसिंथेसिस द्वारा सूर्य से अपना भोजन बनाते हैं वह छाया भी देते हैं<unk>
hi_in_test_00046,1,"शत्रुता फैलाने के तुरंत बाद, ब्रिटेन ने जर्मनी की समुद्री घेराबंदी शुरू कर दी थी.", शत्रुता फैलाने के तुरंत बाद ब्रिटेन ने जर्मनी की समुद्री घेराबंदी शुरू कर दी थी<unk>
hi_in_test_00047,2,"अगर हमारे अपने पूर्वजों ने अपनी “प्रोटीन की समस्या” को कुछ हद तक उसी तरह सुलझाया, तो हमें आश्चर्यचकित नहीं होना चाहिए, जैसे कि आज के समय में चिंपाजी करते हैं।", अगर हमारे अपने पूर्वजों ने अपनी प्रोटीन की समस्या को कुछ हद तक उसी तरह सुलझाया तो हमें आश्चर्यचकित नहीं होना चाहिए जैसे कि आज के समय में चिंपांजी करते हैं<unk>
hi_in_test_00048,6,"आम शब्दों में, जब प्रबंधक अपने पूर्व सहयोगियों का नेतृत्व करना शुरू करते हैं तो दो तरह के बर्ताव सामने आते हैं. स्पेक्ट्रम का एक सिरा “उन लड़कों में से एक” (या लड़कियों में से एक) बने रहने की कोशिश कर रहा है.", आम शब्दों में जब प्रबंधक अपने पूर्व सहयोगियों का नेतृत्व करना शुरू करते हैं तो 2 तरह के बर्ताव सामने आते हैं<unk> स्पेक्ट्रम का 1 सिरा उन लड़कों में से 1 या लड़कियों में से 1 बने रहने की कोशिश कर रहा है<unk>
hi_in_test_00049,1,"प्राचीन संस्कृतियों और जनजातियों ने दूध, बाल, मांस और चमड़े को अपनी आसान पहुँच में बनाए रखना शुरू कर दिया.", प्राचीन संस्कृतियों और जनजातियों ने दूध बाल मांस और चमड़े को अपनी आसान पहुँच में बनाए रखना शुरू कर दिया<unk>
hi_in_test_00050,3,ऐसी संस्कृति को सभ्यता कहते हैं जो लोगों के एक बड़े समूह में साझा की जाती है. यहाँ लोग आपसी सहयोग करते हुए समाज में रहते हैं और मिलकर काम करते हैं., ऐसी संस्कृति को सभ्यता कहते हैं जो लोगों के एक बड़े समूह में साझा की जाती है<unk> यहां लोग आपसी सहयोग करते हुए समाज में रहते हैं और मिलकर काम करते हैं<unk>
hi_in_test_00051,1,यह शहर देश के बाकी शहरों से अलग है क्योंकि यह किसी अफ्रीकी शहर की बजाय अरब शहर लगता है., यह शहर देश के बाकी शहरों से अलग है क्योंकि यह किसी अफ्रीकी शहर की बजाय अरब शहर लगता है<unk>
hi_in_test_00052,11,"1966 से सुंदरबन वन्यजीव अभ्यारण बन गया है और एक आकलन के अनुसार इस इलाके में अब लगभग 400 रॉयल बंगाल टाइगर्स और लगभग 30,000 चीतल हैं.", उन्नीस सौ छियासठ से सुंदरबन वन्यजीव अभयारण्य बन गया है और एक आकलन के अनुसार इस इलाक़े में अब लगभग चार सौ रॉयल बंगाल टाइगर्स और लगभग तीस हज़ार शीतल हैं<unk>
hi_in_test_00053,2,"हालाँकि, यह सच नहीं है. हालाँकि दस्तावेज़ के पीछे कुछ लिखा हुआ है, लेकिन यह कोई ख़ज़ाने का नक्शा नहीं है.", हालाँकि यह सच नहीं है हालाँकि दस्तावेज़ के पीछे कुछ लिखा हुआ है लेकिन यह कोई खोजने का नक्शा नहीं है<unk>
hi_in_test_00054,3,"सभ्यता शब्द लैटिन सिविलिस से आया है, जिसका अर्थ है नागरिक, लैटिन सिविस से संबंधित है, जिसका अर्थ है नागरिक, और सिवितास, जिसका अर्थ है शहर या शहर-राज्य, और वह एक तरह से समाज के आकार को भी परिभाषित करता है।", सभ्यता शब्द लैटिन सिविलिस से आया है जिसका अर्थ है नागरिक<unk> लैटिन सिविलिस से संबंधित है जिसका अर्थ है नागरिक और सिवितास जिसका अर्थ है शहर या शहर राज्य और वह एक तरह से समाज के आकार को भी परिभाषित करता है<unk>
hi_in_test_00055,3,स्कीइंग मार्ग को एक हाईकिंग (लंबी पैदल यात्रा) मार्ग जैसा ही सोचें।, स्कीइंग मार्ग को एक हाइकिंग मतलब लंबी पैदल यात्रा मार्ग जैसा ही सोचें<unk>
hi_in_test_00056,4,"सबसे पहले, अधिकांश सवार हील और एक चिकनी, काफी पतले तले वाले राइडिंग बूट्स पहनते हैं।", सबसे पहले अधिकांश सवार हील और एक चिन्ह पतले तले वाले राइडिंग इंच पहनते हैं<unk>
hi_in_test_00057,2,"जिसके परिणामस्वरूप, मंच पर कलाकार गांजे भरी सिगरटें पीते हैं और ये थिएटर खुद दर्शकों को भी इसमें साथ शामिल होने के लिए प्रेरित करते हैं.", जिसके परिणामस्वरूप मंच पर कलाकार गांजे भरी सिगरेट पीते हैं और ये थिएटर खुद दर्शकों को भी इसमें साथ शामिल होने के लिए प्रेरित करते हैं<unk>
hi_in_test_00058,2,"अमेरिकी जिमनास्टिक्स, संयुक्त राज्य ओलंपिक समिति के पत्र का समर्थन करता है. साथ ही, सभी एथलीटों को एक सुरक्षित माहौल देने के लिए, ओलंपिक परिवार के होने की अहमियत स्वीकार करता है.", अमेरिकी जिम्नास्टिक्स संयुक्त राज्य ओलंपिक समिति के पत्र का समर्थन करता है साथ ही सभी एथलीटों को एक सुरक्षित माहौल देने के लिए ओलंपिक परिवार के होने की अहमियत स्वीकार करता है<unk>
hi_in_test_00059,4,"हम पक्के तौर पर नहीं जानते हैं, लेकिन इसकी कांटेदार जीभ हो सकती है. इसके आहार में कछुए, बड़ी मछली, दूसरे मोसासॉर शामिल थे और ये एक नरभक्षी भी हो सकता है.", हम पक्के तौर पर नहीं जानते हैं लेकिन इसकी काँटेदार जीभ हो सकती है इसके आहार में कछुए बड़ी मछली दूसरे मोसासोर शामिल थे और यह एक नरभक्षी भी हो सकता है<unk>
hi_in_test_00060,8,"कुछ क्षेत्रों में पानी को एक मिनट के लिए उबालना काफी होता है, अन्य क्षेत्रों में कई मिनट तक उबलाने की आवश्यकता होती है.", कुछ क्षेत्रों में पानी को 1 min के लिए उबलना काफ़ी होता है<unk> अन्य क्षेत्रों में कई मिनिट तक उबलने की आवश्यकता होती है<unk>
hi_in_test_00061,4,"स्प्रिंगबोक्स के लिए, इसने पांच-मैचों की हार का सिलसिला समाप्त कर दिया.", स्प्रिंग बॉक्स के लिए इसने पाँच मैचों की हार का सिलसिला समाप्त कर दिया<unk>
hi_in_test_00062,1,"आपिया समोआ की राजधानी है। यह शहर उपोलू द्वीप पर है और इसकी आबादी 40,000 से भी कम है।"," आपिया समोआ की राजधानी है यह शहर उपोलू द्वीप पर है और इसकी आबादी 40,000 से भी कम है<unk>"
hi_in_test_00063,2,मनोविज्ञान सहित विज्ञान के सभी मामलों पर अरस्तू के विचारों को स्वीकार किया जाता है।, मनोविज्ञान सहित विज्ञान के सभी मामलों पर आरस्तु के विचारों को स्वीकार किया जाता है<unk>
hi_in_test_00064,6,महाराजा और महारानी के ख़िलाफ़ चीखते-चिल्लाते लोगों की भीड़ से घिरी एक गाड़ी में सफर करते हुए वे लोग पेरिस वापस आए., महाराजा और महारानी के खिलाफ चीखने चिल्लाते लोगों की भीड़ से घिरी एक गड्ढे के सफर करते हुए वो लोग पेरिस वापस आए<unk>
hi_in_test_00065,3,"यदि आपको देश की सड़कों पर वाहन चलाने की आदत नहीं है, तो अपने साथ यह जानकारी रखें : स्टीप ग्रेड्‍स, पतली गलियाँ और ख़तरनाक मोड़.", यदि आपको देश की सड़कों पर वाहन चलाने की आदत नहीं है तो अपने साथ यह जानकारी रखें स्टीप ग्रेड्स पतली गलियां और खतरनाक मोड़<unk>
hi_in_test_00066,16,"हालाँकि, टुबर्क्युलोसिस वाले लोगों के पूरे समूह में एक्सडीआर-टीबी का प्रतिशत अभी भी कम है; दक्षिण अफ़्रीका में किसी भी विशेष समय पर कुल 330,000 लोगों में से 6,000 संक्रमित हैं.", हालांकि ट्यूबरक्यूलोसिस वाले लोगों के पूरे समूह में एक्स डी आर टी बी का प्रतिशत अभी भी कम है<unk> दक्षिण अफ्रीका में किसी भी विशेष समय पर कुल तीन लाख तीस हज़ार लोगों में से छह हज़ार संक्रमित हैं<unk>
hi_in_test_00067,2,"वहीं स्पेक्ट्रम का दूसरा सिरा, कोई व्यक्ति किसी ऐसे अपिरिचित व्यक्ति का रूप लेता है जिसे लगता है कि उसे टीम में सब कुछ बदल देना चाहिए और उसे अपने हिसाब से बनाना चाहिए.", वहीं स्पेक्ट्रम का दूसरा सिरा कोई व्यक्ति किसी ऐसे अपरिचित व्यक्ति का रूप लेता है जिसे लगता है कि उसे टीम में सब कुछ बदल देना चाहिए और उसे अपने हिसाब से बनाना चाहिए<unk>
hi_in_test_00068,3,तूफ़ान कैटरीना के मद्देनज़र राहत और पुनर्निर्माण पर चल रहे लंबे विवाद से बहस छिड़ गई थी; जिसमें कुछ राजकोषीय रूढ़िवादियों ने “बुश की न्यू ऑरलियन्स डील” का मज़ाक बनाया है., तूफ़ान कैटरीना के मद्देनज़र राहत और पुनर्निर्माण पर चल रहे लंबे विवाद से बहस छिड़ गई थी जिसमें कुछ राजकोषीय रूढ़िवादियों ने बुश की न्यू ऑर्लियन्स स्टील का मज़ाक बनाया है<unk>
hi_in_test_00069,2,"अंत में, कई ऐसी छोटी बिल्लियाँ (लूज़ पेट कैट्स सहित) हैं जो कीट, रोडंट्स, छिपकलियों और पक्षियों जैसे कई छोटे जीवों को खाती हैं.", अंत में कई ऐसी छोटी बिल्लियाँ लूज़ पेट कैट्स सहित हैं जो कीट रोडेंट्स छिपकलियों और पक्षियों जैसे कई छोटे जीवों को खाती हैं<unk>
hi_in_test_00070,3,परिसर के किनारे ज़्यादातर इमारतें फिर से बनाई गई हैं ताकि पर्यटकों को बेहतर ढंग से पता चल सके कि वे मूल रूप में कैसी दिखाई देती थी., परिसर के किनारे ज़्यादातर इमारतें फिर से बनाई गई हैं ताकि पर्यटकों को बेहतर ढंग से पता चले कि वे मूल रूप में कैसी दिखाई देती थीं<unk>
hi_in_test_00071,3,"अंत में, कई ऐसी छोटी बिल्लियाँ (लूज़ पेट कैट्स सहित) हैं जो कीट, रोडंट्स, छिपकलियों और पक्षियों जैसे कई छोटे जीवों को खाती हैं.", अंत में कई ऐसी छोटी बिल्लियाँ लूज़पेट कैट्स सहित हैं जो कीट रोडंट्स छिपकलियों और पक्षियों जैसे कई छोटे जीवों को खाती हैं<unk>
hi_in_test_00072,4,इस साल की शुरुआत में 53 साल के कुओमो ने अपना शासनकाल शुरू किया और पिछले महीने समलैंगिक विवाह को वैध बनाने वाले बिल पर हस्ताक्षर किए., इस साल की शुरुआत में 53 साल के कुवोमो ने अपना शासनकाल शुरू किया और पिछले महीने समलैंगिक विवाहों का वैध बनाने वाले बिल पर हस्ताक्षर किए<unk>
hi_in_test_00073,3,"बेशक इस परंपरा के पीछे ईसाई धर्मशास्त्र के स्पष्टीकरण दिए जाते हैं, लेकिन एक प्री-क्रिश्चयन स्प्रिंग और फ़र्टिलिटी रस्म भी हो सकती है.", बेशक इस परंपरा के पीछे ईसाई धर्मशास्त्र के स्पष्टीकरण दिए जाते हैं लेकिन एक प्री क्रिश्चियन स्प्रिंग और फर्टिलिटी रस्म भी हो सकती है<unk>
hi_in_test_00074,4,चीज़ों पर कुछ बनाकर या खरोंच कर इस जगह को नुक़सान न पहुँचाएँ., चीज़ों पर कुछ बनाकर या खरोचकर इस जगह को नुकसान न पहुँचाएँ<unk>
hi_in_test_00075,4,नींद की रुकावट आपके सामान्य नींद की अवधि के दौरान आपको जगाने की प्रक्रिया है और थोड़े समय बाद (10-60 मिनट) यह चली जाती है ।, नींद की रुकावट आपके सामान्य नींद की अवधि के दौरान आपको जगाने की प्रक्रिया है और थोड़े समय बाद यह चली जाती है<unk>
hi_in_test_00076,2,"बुधवार के आयोजन के बाद, कारपानेडो ने चैंपियनशिप में दो इंडिविज़ुअल रेस में हिस्सा लिया.", बुधवार के आयोजन के बाद कारपानेडो ने चैंपियनशिप में दो इंडिविजुअल्स रेस में हिस्सा लिया<unk>
